=== KSP CRIME DATABASE LOOKUP ===
=== CrimeSubHead (76 records) ===

  ROWID: 47995000000334138, CrimeSubHeadID: 1, CrimeHeadID: 47995000000334113, CrimeHeadName: Murder with Deadly Weapon, SeqID: 1
  ROWID: 47995000000334139, CrimeSubHeadID: 2, CrimeHeadID: 47995000000334113, CrimeHeadName: Murder of Government Servant, SeqID: 2
  ROWID: 47995000000334140, CrimeSubHeadID: 3, CrimeHeadID: 47995000000334113, CrimeHeadName: Murder for Gain, SeqID: 3
  ROWID: 47995000000334141, CrimeSubHeadID: 4, CrimeHeadID: 47995000000334113, CrimeHeadName: Attempted Murder, SeqID: 4
  ROWID: 47995000000334142, CrimeSubHeadID: 5, CrimeHeadID: 47995000000334113, CrimeHeadName: Murder by Poison, SeqID: 5
  ROWID: 47995000000334143, CrimeSubHeadID: 6, CrimeHeadID: 47995000000334114, CrimeHeadName: Attempt to Murder with Firearm, SeqID: 1
  ROWID: 47995000000334144, CrimeSubHeadID: 7, CrimeHeadID: 47995000000334114, CrimeHeadName: Attempt to Murder by Poison, SeqID: 2
  ROWID: 47995000000334145, CrimeSubHeadID: 8, CrimeHeadID: 47995000000334114, CrimeHeadName: Attempt to Murder by Strangulation, SeqID: 3
  ROWID: 47995000000334146, CrimeSubHeadID: 9, CrimeHeadID: 47995000000334115, CrimeHeadName: Culpable Homicide not amounting to Murder, SeqID: 1
  ROWID: 47995000000334147, CrimeSubHeadID: 10, CrimeHeadID: 47995000000334115, CrimeHeadName: Culpable Homicide by Rash Driving, SeqID: 2
  ROWID: 47995000000334148, CrimeSubHeadID: 11, CrimeHeadID: 47995000000334115, CrimeHeadName: Culpable Homicide by Negligence, SeqID: 3
  ROWID: 47995000000334149, CrimeSubHeadID: 12, CrimeHeadID: 47995000000334116, CrimeHeadName: Rape of Major, SeqID: 1
  ROWID: 47995000000334150, CrimeSubHeadID: 13, CrimeHeadID: 47995000000334116, CrimeHeadName: Rape of Minor, SeqID: 2
  ROWID: 47995000000334151, CrimeSubHeadID: 14, CrimeHeadID: 47995000000334116, CrimeHeadName: Gang Rape, SeqID: 3
  ROWID: 47995000000334152, CrimeSubHeadID: 15, CrimeHeadID: 47995000000334116, CrimeHeadName: Rape by Relative, SeqID: 4
  ROWID: 47995000000334153, CrimeSubHeadID: 16, CrimeHeadID: 47995000000334117, CrimeHeadName: Kidnapping for Ransom, SeqID: 1
  ROWID: 47995000000334154, CrimeSubHeadID: 17, CrimeHeadID: 47995000000334117, CrimeHeadName: Kidnapping of Minor, SeqID: 2
  ROWID: 47995000000334155, CrimeSubHeadID: 18, CrimeHeadID: 47995000000334117, CrimeHeadName: Abduction of Woman, SeqID: 3
  ROWID: 47995000000334156, CrimeSubHeadID: 19, CrimeHeadID: 47995000000334117, CrimeHeadName: Kidnapping for Murder, SeqID: 4
  ROWID: 47995000000334157, CrimeSubHeadID: 20, CrimeHeadID: 47995000000334118, CrimeHeadName: Armed Robbery, SeqID: 1
  ROWID: 47995000000334158, CrimeSubHeadID: 21, CrimeHeadID: 47995000000334118, CrimeHeadName: Robbery on Highway, SeqID: 2
  ROWID: 47995000000334159, CrimeSubHeadID: 22, CrimeHeadID: 47995000000334118, CrimeHeadName: Robbery at Residence, SeqID: 3
  ROWID: 47995000000334160, CrimeSubHeadID: 23, CrimeHeadID: 47995000000334118, CrimeHeadName: Robbery of Valuables, SeqID: 4
  ROWID: 47995000000334161, CrimeSubHeadID: 24, CrimeHeadID: 47995000000334119, CrimeHeadName: Armed Dacoity, SeqID: 1
  ROWID: 47995000000334162, CrimeSubHeadID: 25, CrimeHeadID: 47995000000334119, CrimeHeadName: Dacoity on Highway, SeqID: 2
  ROWID: 47995000000334163, CrimeSubHeadID: 26, CrimeHeadID: 47995000000334119, CrimeHeadName: Dacoity with Murder, SeqID: 3
  ROWID: 47995000000334164, CrimeSubHeadID: 27, CrimeHeadID: 47995000000334119, CrimeHeadName: Dacoity at Residence, SeqID: 4
  ROWID: 47995000000334165, CrimeSubHeadID: 28, CrimeHeadID: 47995000000334120, CrimeHeadName: Burglary at Night, SeqID: 1
  ROWID: 47995000000334166, CrimeSubHeadID: 29, CrimeHeadID: 47995000000334120, CrimeHeadName: Burglary at Residence, SeqID: 2
  ROWID: 47995000000334167, CrimeSubHeadID: 30, CrimeHeadID: 47995000000334120, CrimeHeadName: Burglary of Shop, SeqID: 3
  ROWID: 47995000000334168, CrimeSubHeadID: 31, CrimeHeadID: 47995000000334120, CrimeHeadName: Burglary of Godown, SeqID: 4
  ROWID: 47995000000334169, CrimeSubHeadID: 32, CrimeHeadID: 47995000000334121, CrimeHeadName: Theft of Motor Vehicle, SeqID: 1
  ROWID: 47995000000334170, CrimeSubHeadID: 33, CrimeHeadID: 47995000000334121, CrimeHeadName: Theft of Mobile Phone, SeqID: 2
  ROWID: 47995000000334171, CrimeSubHeadID: 34, CrimeHeadID: 47995000000334121, CrimeHeadName: Theft of Valuables, SeqID: 3
  ROWID: 47995000000334172, CrimeSubHeadID: 35, CrimeHeadID: 47995000000334121, CrimeHeadName: Theft from Vehicle, SeqID: 4
  ROWID: 47995000000334173, CrimeSubHeadID: 36, CrimeHeadID: 47995000000334122, CrimeHeadName: Rioting with Deadly Weapon, SeqID: 1
